Genre,Movie Name,Year,Rating,Votes,Type,Detail/Main Story,Metascore
Adventure,70. S.W.A.T.,2017?2024,7.2?(31K),"Votes30,848",TV Series,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,
Adventure,71. Avatar: The Way of Water,2022,7.6?(480K),"Votes480,015",,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",67
Adventure,72. The Orville,2017?2022,8.0?(98K),"Votes97,952",TV Series,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships.",
Adventure,73. Tiger 3,2023,6.1?(50K),"Votes50,431",,Tiger and Zoya are back - to save the country and their family. This time it's personal.,
Adventure,74. Arcane,2021?,9.0?(258K),"Votes258,487",TV Series,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",
Adventure,75. Elemental,2023,7.0?(112K),"Votes112,495",,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",58
Adventure,76. The Hunger Games: Catching Fire,2013,7.5?(713K),"Votes712,876",,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,76
Adventure,77. Morbius,2022,5.2?(148K),"Votes148,163",,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",35
Adventure,78. Demon Slayer: Kimetsu no Yaiba,2019?,8.6?(141K),"Votes140,847",TV Series,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",
Adventure,79. Expend4bles,2023,4.8?(31K),"Votes31,220",,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table.",30
Adventure,80. Charlie and the Chocolate Factory,2005,6.7?(521K),"Votes520,729",,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",72
Adventure,81. Hawkeye,2021,7.5?(210K),"Votes210,205",TV Mini Series,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",
Adventure,82. Our Flag Means Death,2022?2023,7.8?(41K),"Votes41,087",TV Series,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,
Adventure,83. Uncharted,2022,6.3?(250K),"Votes250,183",,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",45
Adventure,84. Star Trek: Discovery,2017?2024,7.1?(131K),"Votes131,395",TV Series,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",
Adventure,85. The Lord of the Rings: The Return of the King,2003,9.0?(2M),"Votes1,951,788",,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,94
Adventure,86. Aquaman,2018,6.8?(513K),"Votes512,918",,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",55
Adventure,87. Strays,2023,6.3?(24K),"Votes24,380",,An abandoned dog teams up with other strays to get revenge on his former owner.,54
Adventure,88. Firefly,2002?2003,9.0?(279K),"Votes278,973",TV Series,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",
Adventure,89. Inglourious Basterds,2009,8.4?(1.6M),"Votes1,557,903",,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",69
Adventure,90. The Umbrella Academy,2019?2024,7.9?(270K),"Votes270,221",TV Series,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",
Adventure,91. Avengers: Endgame,2019,8.4?(1.2M),"Votes1,243,182",,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78
Adventure,92. Spirited Away,2001,8.6?(833K),"Votes832,502",,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",96
Adventure,93. Avatar: The Last Airbender,2005?2008,9.3?(353K),"Votes353,181",TV Series,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",
Adventure,94. Blue Beetle,2023,6.0?(86K),"Votes85,689",,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",61
Adventure,95. Magnum P.I.,2018?2024,6.3?(17K),"Votes17,022",TV Series,An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.,
Adventure,96. Harry Potter and the Goblet of Fire,2005,7.7?(673K),"Votes672,723",,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81
Adventure,97. Kong: Skull Island,2017,6.7?(342K),"Votes341,778",,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.",62
Adventure,98. Ghosted,2023,5.8?(59K),"Votes58,995",,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",34
Adventure,"99. Love, Death & Robots",2019?,8.4?(192K),"Votes191,880",TV Series,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",
Adventure,100. The Little Mermaid,2023,7.2?(151K),"Votes151,060",,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,59
Adventure,101. Harry Potter and the Deathly Hallows: Part 2,2011,8.1?(936K),"Votes935,742",,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",85
Adventure,"102. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9?(423K),"Votes423,250",,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,75
Adventure,103. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1?(1.2M),"Votes1,194,504",,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",63
Adventure,104. Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.2?(56K),"Votes56,486",,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,74
Adventure,105. The Northman,2022,7.0?(247K),"Votes246,611",,A young Viking prince is on a quest to avenge his father's murder.,82
Adventure,106. Twisted Metal,2023?,7.4?(23K),"Votes22,729",TV Series,"Follows a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland.",
Adventure,107. Vikings: Valhalla,2022?,7.3?(55K),"Votes55,117",TV Series,"Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror.",
Adventure,108. Fantastic Beasts: The Secrets of Dumbledore,2022,6.2?(166K),"Votes165,724",,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.,47
Adventure,109. Prometheus,2012,7.0?(638K),"Votes637,933",,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",64
Adventure,110. The Suicide Squad,2021,7.2?(400K),"Votes399,957",,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",72
Adventure,111. Sing 2,2021,7.4?(84K),"Votes84,238",,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,49
Adventure,112. The Hobbit: An Unexpected Journey,2012,7.8?(864K),"Votes864,206",,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",58
Adventure,113. Scavengers Reign,2023,8.7?(12K),"Votes11,573",TV Mini Series,The crew of a damaged deep space freighter strands on a beautiful but dangerous planet.,
Adventure,114. Chicken Run: Dawn of the Nugget,2023,6.4?(19K),"Votes18,513",,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in.",63
Adventure,115. Meg 2: The Trench,2023,5.0?(72K),"Votes72,377",,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation.",40
Adventure,116. The Pacific,2010,8.3?(126K),"Votes125,956",TV Mini Series,"The Pacific Theatre of World War II, as seen through the eyes of several young Marines.",
Adventure,117. Titans,2018?2023,7.5?(112K),"Votes111,643",TV Series,"Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.",
Adventure,118. Arrow,2012?2020,7.5?(444K),"Votes443,893",TV Series,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",
Adventure,119. Kingdom of Heaven,2005,7.3?(310K),"Votes309,566",,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",63
Adventure,120. Ready Player One,2018,7.4?(475K),"Votes474,863",,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",64
Adventure,121. The Lord of the Rings: The Two Towers,2002,8.8?(1.8M),"Votes1,759,761",,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87
Adventure,122. Vinland Saga,2019?2023,8.8?(66K),"Votes66,169",TV Series,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father an homage.,
Adventure,123. Cars,2006,7.2?(461K),"Votes460,510",,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",73
Adventure,124. Suicide Squad,2016,5.9?(717K),"Votes716,547",,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,40
Adventure,125. Free Guy,2021,7.1?(415K),"Votes415,241",,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",62
